3/14 09:02:20.928  ---- Startup ----
3/14 09:02:30.072  ---- ClientAvailableHotfixes ----
3/14 09:02:30.072      51052, TransmogHoliday
3/14 09:02:30.072      51052, TradeSkillItem
3/14 09:02:30.072      51052, ItemSparse
3/14 09:02:30.072      51052, ItemSearchName
3/14 09:02:30.072      51052, QuestObjective
3/14 09:02:30.072      51052, Item
3/14 09:02:30.072      51052, Item
3/14 09:02:30.072      51052, ItemSearchName
3/14 09:02:30.072      51052, ItemSparse
3/14 09:02:30.072      51052, QuestObjective
3/14 09:02:30.072      51052, QuestV2
3/14 09:02:30.072      51052, TradeSkillItem
3/14 09:02:30.072      51052, TransmogHoliday
3/14 09:02:30.072      51052, QuestV2CliTask
3/14 09:02:30.072      51053, SpellMisc
3/14 09:02:30.072      51054, SpellMisc
3/14 09:02:30.072      51058, SpellMisc
3/14 09:02:30.072      51058, PlayerCondition
3/14 09:02:30.072      51058, CreatureDifficulty
3/14 09:02:30.072      51058, SpellVisualKitModelAttach
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, SpellEffect
3/14 09:02:30.072      51058, SpellMisc
3/14 09:02:30.072      51058, SpellEffect
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, SpellEffect
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, SpellVisualKitModelAttach
3/14 09:02:30.072      51058, AreaGroupMember
3/14 09:02:30.072      51058, SpellEffect
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, SpellMisc
3/14 09:02:30.072      51058, SpellVisualKitModelAttach
3/14 09:02:30.072      51058, SpellMisc
3/14 09:02:30.072      51058, SpellEffect
3/14 09:02:30.072      51058, SpellVisualKitModelAttach
3/14 09:02:30.072      51058, Phase
3/14 09:02:30.072      51058, Phase
3/14 09:02:30.072      51058, SpellVisualKitModelAttach
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, ModifierTree
3/14 09:02:30.072      51058, PlayerCondition
3/14 09:02:30.072      51058, SpellVisualKitModelAttach
3/14 09:02:30.072      51058, SpellVisualKitModelAttach
3/14 09:02:30.072      51058, SpellVisualKitEffect
3/14 09:02:30.072      51059, ModifierTree
3/14 09:02:30.072      51059, ModifierTree
3/14 09:02:30.072      51060, SpellMisc
3/14 09:02:30.072      51061, CreatureDifficulty
3/14 09:02:30.072      51062, SpellEffect
3/14 09:02:30.072      51062, SpellName
3/14 09:02:30.072      51062, Spell
3/14 09:02:30.072      51062, SpellEffect
3/14 09:02:30.072      51062, SpellEffect
3/14 09:02:30.072      51064, QuestPOIPoint
3/14 09:02:30.072      51064, QuestPOIPoint
3/14 09:02:30.072      51064, QuestPOIPoint
3/14 09:02:30.072      51065, CreatureDifficulty
3/14 09:02:30.072      51067, Spell
3/14 09:02:30.072      51067, SpellName
3/14 09:02:30.072      51067, Creature
3/14 09:02:30.072      51067, SpellInterrupts
3/14 09:02:30.072      51067, SpellEffect
3/14 09:02:30.072      51067, SpellMisc
